Name,R,H,D,T,HR,SB,BB,RBI,K,BA,SLG,
McCann,51,126,19,0,24,3,57,71,89,0.27,0.466,
McCutchen,87,147,34,5,23,23,89,89,126,0.257,0.455,
McGehee,46,122,24,2,13,0,45,67,104,0.223,0.346,
Molina,55,145,32,1,14,4,33,65,44,0.305,0.465,
Montero,65,139,36,1,18,1,47,86,97,0.282,0.469,
Moreland,60,120,22,1,16,2,39,51,92,0.259,0.414,
Morrison,54,114,25,4,23,2,54,72,99,0.247,0.468,
Morse,73,158,36,0,31,2,36,95,126,0.303,0.55,
Olivo,54,107,19,1,19,6,20,62,140,0.224,0.331,
Ortiz,84,162,40,1,29,1,78,96,83,0.309,0.36,
Pagan,68,125,24,4,7,32,44,56,62,0.262,0.276,
Pedroia,102,195,37,3,21,26,86,91,85,0.307,0.371,
Pena,72,111,27,3,28,2,101,80,161,0.225,0.175,
Pence,84,190,38,5,22,8,56,97,124,0.314,0.369,
Pennington,57,136,26,2,8,14,42,58,104,0.264,0.478,
Peralta,68,157,25,3,21,0,40,86,95,0.299,0.473,
Phillips,94,183,38,2,18,14,44,82,85,0.3,0.28,
Pierre,80,178,17,4,2,27,43,50,41,0.279,0.56,
Polanco,46,130,14,0,5,3,42,50,44,0.277,0.389,
Prado,66,143,26,2,13,4,34,57,52,0.26,0.37,
Pujols,105,173,29,0,37,9,61,99,58,0.299,0.499,
Ramirez,81,165,31,2,15,7,51,70,84,0.269,0.376,
Ramirez,80,173,35,1,26,1,43,93,69,0.306,0.059,
Rasmus,75,106,24,6,14,5,50,53,116,0.225,0.457,
Reyes,101,181,31,16,7,39,43,44,41,0.337,0.271,
Reynolds,84,118,27,1,37,6,75,86,196,0.221,0.5,
Rios,64,122,22,2,13,11,27,44,68,0.227,0.333,
Rivera,46,120,23,1,11,5,43,74,76,0.258,0.202,
Roberts,86,120,25,2,19,18,66,65,98,0.249,0.336,
Rollins,87,152,22,2,16,30,58,63,59,0.268,0.158,
Sanchez,72,152,35,0,19,3,74,78,97,0.266,0.552,
Santana,84,132,35,2,27,5,97,79,133,0.239,0.227,
Smith,67,135,32,9,15,10,46,59,93,0.284,0.348,
Soriano,50,116,27,1,26,2,27,88,113,0.244,0.359,
Stanton,79,135,30,5,34,5,70,87,166,0.262,0.221,
Stubbs,92,147,22,3,15,40,63,44,205,0.243,0.335,
Suzuki,80,184,22,3,5,40,39,47,69,0.272,0.341,
Suzuki,54,109,26,0,14,2,38,44,64,0.237,0.449,
Swisher,81,137,30,0,23,2,95,85,125,0.26,0.23,
Teixeira,90,146,26,1,39,4,76,111,110,0.248,0.335,
Trumbo,65,137,31,1,29,9,25,87,120,0.254,0.356,
Tulowitzki,81,162,36,2,30,9,59,105,79,0.302,0.453,
Uggla,88,140,22,1,36,1,62,82,156,0.233,0.529,
Upton,105,171,39,5,31,21,59,88,126,0.289,0.425,
Upton,82,136,27,4,23,36,71,81,161,0.243,0.293,
Valencia,63,139,28,2,15,2,40,72,102,0.246,0.5,
Victorino,95,145,27,16,17,19,55,61,63,0.279,0.531,
Votto,101,185,40,3,29,8,110,103,129,0.309,0.369,
Walker,76,163,36,4,12,9,54,83,112,0.273,0.421,
Weeks,77,122,26,2,20,9,50,49,107,0.269,0.412,
Wells,60,110,15,4,25,9,20,66,86,0.218,0.31,
Werth,69,130,26,1,20,19,74,58,160,0.232,0.45,
Wieters,72,131,28,0,22,1,48,68,84,0.262,0.477,
Willingham,69,120,26,0,29,4,56,98,150,0.246,0.288,
Youkilis,68,111,32,2,17,3,68,80,100,0.258,0.393,
Young,88,213,41,6,11,6,47,106,78,0.338,0.469,
Young,89,134,38,3,20,22,80,71,139,0.236,0.298,
Young,54,127,21,1,12,1,23,64,85,0.268,0.229,
Zobrist,99,158,46,6,20,19,77,91,128,0.269,0.469,
