Date,V1,V2,V3,V4,V5,Ann_Total_Return,Ann_Forecast_Total_Return,Low_95_Bound,Up_95_Bound
01/01/2007,78.73,5.98,2.73,27.47,14.29,11.997,NA,NA,NA
04/01/2007,79.3,6.01,2.73,56.45,14.34,13.704,NA,NA,NA
07/01/2007,78.96,6.03,2.73,43.43,14.37,12.224,NA,NA,NA
10/01/2007,78.82,6.04,2.74,34.96,14.46,7.61,NA,NA,NA
01/01/2008,78.14,6.03,2.75,1.63,14.52,5.119,NA,NA,NA
04/01/2008,76.56,5.98,2.76,-25.44,14.56,1.177,NA,NA,NA
07/01/2008,73.82,5.93,2.77,-19.29,14.59,-1.414,NA,NA,NA
10/01/2008,69.61,5.84,2.77,-87.58,14.59,-29.555,NA,NA,NA
01/01/2009,65.17,5.72,2.79,-179.02,14.59,-30.513,NA,NA,NA
04/01/2009,63.74,5.6,2.87,-228.32,14.58,-19.009,NA,NA,NA
07/01/2009,65.41,5.54,2.83,-245.13,14.53,-11.486,NA,NA,NA
10/01/2009,66.9,5.49,2.84,-56.83,14.52,-7.059,NA,NA,NA
01/01/2010,68.51,5.45,2.88,-5.01,14.47,1.705,NA,NA,NA
04/01/2010,70.69,5.44,3.2,33.25,14.43,18.984,NA,NA,NA
07/01/2010,71.82,5.45,2.96,128.82,14.33,26.462,NA,NA,NA
10/01/2010,72.39,5.47,2.87,72.07,14.28,27.612,NA,NA,NA
01/01/2011,73.29,5.5,2.88,32.76,14.23,14.062,NA,NA,NA
04/01/2011,73.43,5.53,2.87,71.31,14.21,17.938,NA,NA,NA
07/01/2011,74.24,5.55,2.85,-17.68,14.09,15.176,NA,NA,NA
10/01/2011,74.82,5.59,2.84,100.44,14.08,14.678,NA,NA,NA
01/01/2012,75.63,5.63,2.83,72.83,14.07,11.626,NA,NA,NA
04/01/2012,75.56,5.66,2.82,87.07,14.04,11.533,NA,NA,NA
07/01/2012,75.19,5.68,2.82,97.96,14.03,10.06,NA,NA,NA
10/01/2012,75.22,5.7,2.81,26.98,14.03,11.704,NA,NA,NA
01/01/2013,75.63,5.71,2.8,81.25,14.03,10.699,NA,NA,NA
04/01/2013,75.47,5.72,2.78,85.78,14.03,10.393,NA,NA,NA
07/01/2013,75.27,5.74,2.76,147.58,14.03,10.286,NA,NA,NA
10/01/2013,75.59,5.76,2.74,120.01,14.03,10.297,NA,NA,NA
01/01/2014,75.43,5.78,2.73,64.83,14.04,9.13,8.552,7.314,9.793
04/01/2014,76.24,5.81,2.73,103.77,14.08,10.011,9.919,8.669,11.172
07/01/2014,76.6,5.82,2.73,102.83,14.12,10.499,10.962,9.703,12.223
10/01/2014,76.91,5.84,2.74,75.08,14.14,11.539,11.09,9.831,12.353
01/01/2015,76.48,5.86,2.75,166.37,14.15,11.885,11.71,10.445,12.977
04/01/2015,76.36,5.86,2.76,149.77,14.18,12.475,11.846,10.58,13.115
07/01/2015,76.39,5.85,2.76,117.57,14.21,12.198,11.72,10.455,12.988
10/01/2015,75.81,5.85,2.77,82.26,14.22,11.393,9.745,8.496,10.996
01/01/2016,75.6,5.85,2.78,50.73,14.28,7.696,7.161,5.935,8.39
04/01/2016,74.85,5.85,2.79,17.83,14.3,7.743,6.945,5.721,8.172
07/01/2016,74.7,5.86,2.8,-14.14,14.36,7.06,6.85,5.626,8.076
10/01/2016,74.79,5.87,2.81,39.08,14.35,6.838,6.654,5.432,7.878
01/01/2017,75,5.88,2.81,-2.4,14.35,5.301,6.106,4.889,7.326
04/01/2017,75.38,5.89,2.8,11.94,14.36,5.937,6.53,5.309,7.753
07/01/2017,74.88,5.91,2.8,64.35,14.38,6.801,6.929,5.705,8.156
10/01/2017,75.71,5.93,2.8,16.14,14.4,6.619,6.597,5.376,7.821
01/01/2018,75.85,5.95,2.79,30.34,14.41,6.154,6.526,5.306,7.75
04/01/2018,76.06,5.96,2.79,-36.81,14.43,6.286,6.553,5.332,7.777
07/01/2018,76.51,6,2.8,89.77,14.45,6.333,7.942,6.709,9.178
10/01/2018,76.39,6.02,2.8,57.09,14.46,5.493,6.288,5.069,7.509
01/01/2019,76.53,6.05,2.81,52.35,14.48,NA,7.041,5.816,8.269
04/01/2019,76.71,6.07,2.81,56.97,14.48,NA,8.567,7.328,9.808
07/01/2019,76.75,6.09,2.83,54.07,14.48,NA,7.231,6.005,8.461
10/01/2019,76.7,6.11,2.85,41.41,14.48,NA,8.061,6.827,9.297
01/01/2020,76.41,6.12,2.87,16.76,14.49,NA,6.507,5.286,7.73
04/01/2020,76.04,6.11,3.13,0.68,14.49,NA,6.564,5.343,7.788
07/01/2020,75.88,6.09,2.91,-5.5,14.49,NA,6.379,5.16,7.602
10/01/2020,76.03,6.08,2.9,6.37,14.48,NA,6.607,5.386,7.831
01/01/2021,76.38,6.08,2.91,33.26,14.48,NA,6.648,5.427,7.873
04/01/2021,76.79,6.08,2.92,54.99,14.49,NA,7.418,6.189,8.649
07/01/2021,77.22,6.08,2.92,69.93,14.51,NA,8.395,7.158,9.634
10/01/2021,77.58,6.09,2.92,78.16,14.54,NA,9.322,8.077,10.569
01/01/2022,77.74,6.1,2.92,79.97,14.57,NA,9.407,8.162,10.655
04/01/2022,77.84,6.11,2.93,83.52,14.6,NA,8.669,7.43,9.911
07/01/2022,77.87,6.12,2.93,82.25,14.63,NA,8.614,7.375,9.855
10/01/2022,77.81,6.13,2.93,82.14,14.66,NA,8.703,7.463,9.945
