year,Team,Wins,Losses,Runs Scored,Runs Allowed,Scoring ratio,Predicted winning %,Actual winning %,Absolute error
2005,Dodgers,71,91,685,755,0.907284768,0.451503488,0.438271605,0.013231883
2005,Brewers,81,81,726,697,1.041606887,0.520371019,0.5,0.020371019
2005,Twins,83,79,688,662,1.039274924,0.519252118,0.512345679,0.006906439
2005,Yankees,95,67,886,789,1.122940431,0.557716887,0.586419753,0.028702866
2005,Angels,83,79,722,648,1.114197531,0.553857465,0.512345679,0.041511786
2005,Athletics,88,74,772,658,1.17325228,0.579216831,0.543209877,0.036006955
2005,Phillies,88,74,807,726,1.111570248,0.552690472,0.543209877,0.009480595
2005,Pirates,67,95,680,769,0.88426528,0.43880918,0.413580247,0.025228933
2005,Padres,82,80,684,726,0.94214876,0.470239172,0.50617284,0.035933667
2005,Mariners,69,93,699,751,0.930758988,0.464183994,0.425925926,0.038258068
2005,Giants,75,87,649,745,0.87114094,0.431458494,0.462962963,0.031504469
2005,Cardinals,100,62,805,634,1.269716088,0.617177835,0.617283951,0.000106116
2005,Rays,67,95,750,936,0.801282051,0.391006231,0.413580247,0.022574016
2005,Rangers,79,83,865,858,1.008158508,0.504062614,0.487654321,0.016408293
2005,Blue Jays,80,82,775,705,1.09929078,0.547191728,0.49382716,0.053364567
2005,Natronals,81,81,639,673,0.949479941,0.474102758,0.5,0.025897242
2004,Angels,92,70,836,734,1.138964578,0.564695084,0.567901235,0.003206151
2004,Diamondbacks,51,111,615,899,0.684093437,0.318793587,0.314814815,0.003978772
2004,Braves,96,66,803,668,1.202095808,0.591007788,0.592592593,0.001584805
2004,Orioles,78,84,842,830,1.014457831,0.507176664,0.481481481,0.025695182
2004,Red Sox,98,64,949,768,1.235677083,0.604257846,0.604938272,0.000680426
2004,White Sox,83,79,865,831,1.040914561,0.520039116,0.512345679,0.007693437
2004,Cubs,89,73,789,665,1.186466165,0.584666202,0.549382716,0.035283486
2004,Reds,76,86,750,907,0.826901874,0.406093496,0.469135802,0.063042306
2004,Indians,80,82,858,857,1.001166861,0.50058309,0.49382716,0.00675593
2004,Rockies,68,94,833,923,0.902491874,0.448881434,0.419753086,0.029128347
2004,Tigers,72,90,827,844,0.97985782,0.489827504,0.444444444,0.04538306
2004,Marlins,83,79,718,700,1.025714286,0.51269189,0.512345679,0.000346211
2004,Astros,92,70,803,698,1.150429799,0.569612716,0.567901235,0.001711482
2004,Royals,58,104,720,905,0.79558011,0.38761052,0.358024691,0.029585829
2004,Dodgers,93,69,761,684,1.112573099,0.553136315,0.574074074,0.020937759
2004,Brewers,67,94,634,757,0.837516513,0.41226045,0.416149068,0.003888618
2004,Twins,92,70,780,715,1.090909091,0.543396226,0.567901235,0.024505008
2004,Expos,67,95,635,769,0.825747724,0.405419944,0.413580247,0.008160303
2004,Yankees,101,61,897,808,1.110148515,0.552057568,0.62345679,0.071399222
2004,Angels,71,91,684,731,0.935704514,0.466821058,0.438271605,0.028549453
2004,Athletics,91,71,793,742,1.068733154,0.53318812,0.561728395,0.028540275
2004,Phillies,86,76,840,781,1.075544174,0.536349132,0.530864198,0.005484934
2004,Pirates,72,89,680,744,0.913978495,0.455146781,0.447204969,0.007941812
2004,Padres,87,75,768,705,1.089361702,0.542691763,0.537037037,0.005654726
2004,Mariners,63,99,698,823,0.848116646,0.418368565,0.388888889,0.029479676
2004,Giants,91,71,850,770,1.103896104,0.549262582,0.561728395,0.012465813
2004,Cardinals,105,57,855,659,1.297420334,0.627324497,0.648148148,0.020823651
2004,Rays,70,91,714,842,0.847980998,0.418290722,0.434782609,0.016491887
2004,Rangers,89,73,860,794,1.083123426,0.539839829,0.549382716,0.009542887
2004,Blue Jays,67,94,719,823,0.87363305,0.432860528,0.416149068,0.01671146
2003,Angels,77,85,736,743,0.990578735,0.495267178,0.475308642,0.019958536
2003,Diamondbacks,84,78,717,685,1.046715328,0.522812652,0.518518519,0.004294133
2003,Braves,101,61,907,740,1.225675676,0.600364605,0.62345679,0.023092185
2003,Orioles,71,91,743,820,0.906097561,0.450855038,0.438271605,0.012583433
2003,Red Sox,95,67,961,809,1.187886279,0.58524704,0.586419753,0.001172713
2003,White Sox,86,76,791,715,1.106293706,0.550336615,0.530864198,0.019472418
2003,Cubs,88,74,724,683,1.060029283,0.529115291,0.543209877,0.014094585
2003,Reds,69,93,694,886,0.783295711,0.380249354,0.425925926,0.045676572
2003,Indians,68,94,699,778,0.898457584,0.446665783,0.419753086,0.026912697
2003,Rockies,74,88,853,892,0.956278027,0.477661588,0.456790123,0.020871464
2003,Tigers,43,119,591,928,0.636853448,0.288551094,0.265432099,0.023118995
2003,Marlins,91,71,751,692,1.085260116,0.540818802,0.561728395,0.020909593
2003,Astros,87,75,805,677,1.189069424,0.585730245,0.537037037,0.048693208
2003,Royals,83,79,836,867,0.964244521,0.481802859,0.512345679,0.03054282
2003,Dodgers,85,77,574,556,1.032374101,0.515925163,0.524691358,0.008766195
2003,Brewers,68,94,714,873,0.817869416,0.400806651,0.419753086,0.018946435
2003,Twins,90,72,801,758,1.056728232,0.527560816,0.555555556,0.027994739
2003,Expos,83,79,711,716,0.99301676,0.496496189,0.512345679,0.01584949
2003,Yankees,101,61,877,716,1.224860335,0.600045249,0.62345679,0.023411541
2003,Angels,66,95,642,754,0.851458886,0.420283885,0.409937888,0.010345996
2003,Athletics,96,66,768,643,1.194401244,0.587899804,0.592592593,0.004692789
2003,Phillies,86,76,791,697,1.134863702,0.562920944,0.530864198,0.032056746
2003,Pirates,75,87,753,801,0.940074906,0.46914141,0.462962963,0.006178447
2003,Padres,64,98,678,831,0.815884477,0.399640077,0.395061728,0.004578348
2003,Mariners,93,69,795,637,1.248037677,0.609008146,0.574074074,0.034934072
2003,Giants,100,61,755,638,1.18338558,0.583403015,0.621118012,0.037714998
2003,Cardinals,85,77,876,796,1.100502513,0.547737603,0.524691358,0.023046245
2003,Rays,63,99,715,852,0.839201878,0.413234998,0.388888889,0.024346109
2003,Rangers,71,91,826,969,0.852425181,0.420836682,0.438271605,0.017434923
2003,Blue Jays,86,76,894,826,1.082324455,0.539473187,0.530864198,0.008608989
2002,Angels,99,63,851,644,1.321428571,0.635856944,0.611111111,0.024745833
2002,Diamondbacks,98,64,819,674,1.215133531,0.596212391,0.604938272,0.00872588
2002,Braves,101,59,708,565,1.253097345,0.610933236,0.63125,0.020316764
2002,Orioles,67,95,667,773,0.862871928,0.426785608,0.413580247,0.013205361
2002,Red Sox,93,69,859,665,1.291729323,0.625266713,0.574074074,0.051192639
2002,White Sox,81,81,856,798,1.072681704,0.535023439,0.5,0.035023439
2002,Cubs,67,95,706,759,0.930171278,0.463869813,0.413580247,0.050289566
2002,Reds,78,84,709,774,0.916020672,0.456253965,0.481481481,0.025227516
2002,Indians,74,88,739,837,0.882915173,0.438056774,0.456790123,0.018733349
2002,Rockies,73,89,778,898,0.86636971,0.42876613,0.450617284,0.021851154
2002,Tigers,55,106,575,864,0.665509259,0.306952515,0.341614907,0.034662392
2002,Marlins,79,83,699,763,0.916120577,0.456308077,0.487654321,0.031346244
2002,Astros,84,78,749,695,1.077697842,0.537343898,0.518518519,0.018825379
2002,Royals,62,100,737,891,0.827160494,0.406244344,0.382716049,0.023528295
2002,Dodgers,92,70,713,643,1.108864697,0.551485217,0.567901235,0.016416017
2002,Brewers,56,106,627,821,0.763702801,0.368384606,0.345679012,0.022705594
2002,Twins,94,67,768,712,1.078651685,0.537783743,0.583850932,0.046067189
2002,Expos,83,79,735,718,1.02367688,0.51169833,0.512345679,0.000647349
2002,Yankees,103,58,897,697,1.286944046,0.623525865,0.639751553,0.016225688
2002,Angels,75,86,690,703,0.981507824,0.490668437,0.465838509,0.024829927
2002,Athletics,103,59,800,654,1.22324159,0.59941033,0.635802469,0.036392139
2002,Phillies,80,81,710,724,0.980662983,0.490238029,0.49689441,0.00665638
2002,Pirates,72,89,641,730,0.878082192,0.435356296,0.447204969,0.011848673
2002,Padres,66,96,662,815,0.812269939,0.397511404,0.407407407,0.009896003
2002,Mariners,93,69,814,699,1.164520744,0.57557134,0.574074074,0.001497266
2002,Giants,95,66,783,616,1.271103896,0.617693908,0.590062112,0.027631796
2002,Cardinals,97,65,787,648,1.214506173,0.595963717,0.598765432,0.002801715
2002,Rays,55,106,673,918,0.733115468,0.349575851,0.341614907,0.007960944
2002,Rangers,72,90,843,882,0.955782313,0.477402855,0.444444444,0.032958411
2002,Blue Jays,78,84,813,828,0.981884058,0.490859996,0.481481481,0.009378514
2001,Angels,75,87,691,730,0.946575342,0.472575197,0.462962963,0.009612234
2001,Diamondbacks,92,70,818,677,1.208271787,0.593482833,0.567901235,0.025581598
2001,Braves,88,74,729,643,1.133748056,0.562436897,0.543209877,0.019227021
2001,Orioles,63,98,687,829,0.828709288,0.407147109,0.391304348,0.015842761
2001,Red Sox,82,79,772,745,1.036241611,0.51779265,0.50931677,0.00847588
2001,White Sox,83,79,798,795,1.003773585,0.501883232,0.512345679,0.010462447
2001,Cubs,88,74,777,701,1.108416548,0.551285236,0.543209877,0.008075359
2001,Reds,66,96,735,850,0.864705882,0.427824744,0.407407407,0.020417337
2001,Indians,91,71,897,821,1.092570037,0.544151084,0.561728395,0.017577311
2001,Rockies,73,89,923,906,1.018763797,0.509293894,0.450617284,0.05867661
2001,Tigers,66,96,724,876,0.826484018,0.405849706,0.407407407,0.001557701
2001,Marlins,76,86,742,744,0.997311828,0.498654107,0.469135802,0.029518305
2001,Astros,93,69,847,769,1.101430429,0.548155138,0.574074074,0.025918936
2001,Royals,65,97,729,858,0.84965035,0.41924811,0.401234568,0.018013542
2001,Dodgers,86,76,758,744,1.018817204,0.509320096,0.530864198,0.021544102
2001,Brewers,68,94,740,806,0.918114144,0.457386848,0.419753086,0.037633761
2001,Twins,85,77,771,766,1.006527415,0.503253056,0.524691358,0.021438302
2001,Expos,68,94,670,812,0.825123153,0.405055204,0.419753086,0.014697882
2001,Yankees,95,65,804,713,1.127629734,0.559771732,0.59375,0.033978268
2001,Angels,82,80,642,713,0.900420757,0.447744948,0.50617284,0.058427892
2001,Athletics,102,60,884,645,1.370542636,0.652583214,0.62962963,0.022953585
2001,Phillies,86,76,746,719,1.037552156,0.518423776,0.530864198,0.012440421
2001,Pirates,62,100,657,858,0.765734266,0.369621677,0.382716049,0.013094372
2001,Padres,79,83,789,812,0.971674877,0.485636943,0.487654321,0.002017378
2001,Mariners,116,46,927,627,1.4784689,0.686114025,0.716049383,0.029935357
2001,Giants,90,72,799,748,1.068181818,0.532931242,0.555555556,0.022624313
2001,Cardinals,93,69,814,684,1.19005848,0.586133688,0.574074074,0.012059614
2001,Rays,62,100,672,887,0.757609921,0.364665003,0.382716049,0.018051047
2001,Rangers,73,89,890,968,0.919421488,0.458093231,0.450617284,0.007475947
2001,Blue Jays,80,82,767,753,1.018592297,0.509209745,0.49382716,0.015382585
2000,Angels,82,80,864,869,0.99424626,0.497114854,0.50617284,0.009057986
2000,Diamondbacks,85,77,792,754,1.050397878,0.524564719,0.524691358,0.000126639
2000,Braves,95,67,810,714,1.134453782,0.562743161,0.586419753,0.023676592
2000,Orioles,74,88,794,913,0.86966046,0.430624212,0.456790123,0.026165911
2000,Red Sox,85,77,792,745,1.063087248,0.530550483,0.524691358,0.005859125
2000,White Sox,95,67,978,839,1.165673421,0.576054637,0.586419753,0.010365116
2000,Cubs,65,97,764,904,0.845132743,0.416654294,0.401234568,0.015419726
2000,Reds,85,77,825,765,1.078431373,0.53768219,0.524691358,0.012990832
2000,Indians,90,72,950,816,1.164215686,0.57544333,0.555555556,0.019887775
2000,Rockies,82,80,968,897,1.079152731,0.53801461,0.50617284,0.031841771
2000,Tigers,79,83,823,827,0.995163241,0.497575772,0.487654321,0.009921451
2000,Marlins,79,82,731,797,0.91718946,0.456886719,0.49068323,0.033796511
2000,Astros,72,90,938,944,0.993644068,0.496811935,0.444444444,0.05236749
2000,Royals,77,85,879,930,0.94516129,0.471830018,0.475308642,0.003478624
2000,Dodgers,86,76,798,729,1.094650206,0.545094565,0.530864198,0.014230367
2000,Brewers,73,89,740,826,0.895883777,0.445248139,0.450617284,0.005369145
2000,Twins,69,93,748,880,0.85,0.419448476,0.425925926,0.00647745
2000,Expos,67,95,738,902,0.818181818,0.400990099,0.413580247,0.012590148
2000,Yankees,87,74,871,814,1.07002457,0.533789227,0.540372671,0.006583444
2000,Angels,94,68,807,738,1.093495935,0.544571295,0.580246914,0.035675618
2000,Athletics,91,70,947,813,1.164821648,0.575697564,0.565217391,0.010480173
2000,Phillies,65,97,708,830,0.853012048,0.421172208,0.401234568,0.01993764
2000,Pirates,69,93,793,888,0.893018018,0.443665942,0.425925926,0.017740016
2000,Padres,76,86,752,815,0.922699387,0.459860668,0.469135802,0.009275134
2000,Mariners,91,71,907,780,1.162820513,0.574857325,0.561728395,0.01312893
2000,Giants,97,65,925,747,1.238286479,0.605266285,0.598765432,0.006500853
2000,Cardinals,95,67,887,771,1.150453956,0.569623012,0.586419753,0.016796741
2000,Rays,69,92,733,842,0.870546318,0.431123536,0.428571429,0.002552107
2000,Rangers,71,91,848,974,0.87063655,0.431174376,0.438271605,0.007097229
2000,Blue Jays,83,79,861,908,0.948237885,0.473450059,0.512345679,0.03889562
1999,Angels,70,92,711,826,0.860774818,0.425595451,0.432098765,0.006503314
1999,Diamondbacks,100,62,908,676,1.343195266,0.643388688,0.617283951,0.026104737
1999,Braves,103,59,840,661,1.270801815,0.617581646,0.635802469,0.018220823
1999,Orioles,78,84,851,815,1.044171779,0.521598558,0.481481481,0.040117077
1999,Red Sox,94,68,836,718,1.164345404,0.575497768,0.580246914,0.004749145
1999,White Sox,75,86,777,870,0.893103448,0.443713165,0.465838509,0.022125344
1999,Cubs,67,95,747,920,0.811956522,0.397326562,0.413580247,0.016253685
1999,Reds,96,67,865,711,1.216596343,0.596791535,0.588957055,0.00783448
1999,Indians,97,65,1009,860,1.173255814,0.5792183,0.598765432,0.019547133
1999,Rockies,72,90,906,1028,0.881322957,0.43716833,0.444444444,0.007276114
1999,Tigers,69,92,747,882,0.846938776,0.417692354,0.428571429,0.010879074
1999,Marlins,64,98,691,852,0.811032864,0.396781579,0.395061728,0.00171985
1999,Astros,97,65,823,675,1.219259259,0.597843337,0.598765432,0.000922095
1999,Royals,64,97,856,921,0.929424539,0.463470373,0.397515528,0.065954845
1999,Dodgers,77,85,793,787,1.007623888,0.503797414,0.475308642,0.028488772
1999,Brewers,74,87,815,886,0.91986456,0.458332442,0.459627329,0.001294887
1999,Twins,63,97,686,845,0.81183432,0.397254481,0.39375,0.003504481
1999,Expos,68,94,718,853,0.841735053,0.414697382,0.419753086,0.005055705
1999,Yankees,98,64,900,731,1.23119015,0.602516735,0.604938272,0.002421537
1999,Angels,97,66,853,711,1.199718706,0.590050522,0.595092025,0.005041503
1999,Athletics,87,75,893,846,1.055555556,0.527007299,0.537037037,0.010029738
1999,Phillies,77,85,841,846,0.994089835,0.497036185,0.475308642,0.021727543
1999,Pirates,78,83,775,782,0.991048593,0.495504266,0.48447205,0.011032216
1999,Padres,74,88,710,781,0.909090909,0.452488688,0.456790123,0.004301436
1999,Mariners,79,83,859,905,0.949171271,0.473940623,0.487654321,0.013713698
1999,Giants,86,76,872,831,1.049338147,0.524061215,0.530864198,0.006802982
1999,Cardinals,75,86,809,838,0.965393795,0.482397686,0.465838509,0.016559176
1999,Rays,69,93,772,913,0.845564074,0.416902346,0.425925926,0.00902358
1999,Rangers,95,67,945,859,1.100116414,0.547563747,0.586419753,0.038856006
1999,Blue Jays,84,78,883,862,1.024361949,0.512032641,0.518518519,0.006485877
1998,Angels,85,77,787,783,1.005108557,0.502547754,0.524691358,0.022143604
1998,Diamondbacks,65,97,665,812,0.818965517,0.401450113,0.401234568,0.000215546
1998,Braves,106,56,826,581,1.421686747,0.669004949,0.654320988,0.014683961
1998,Orioles,79,83,817,785,1.040764331,0.519967064,0.487654321,0.032312743
1998,Red Sox,92,70,876,729,1.201646091,0.590826883,0.567901235,0.022925649
1998,White Sox,80,82,861,931,0.92481203,0.460997014,0.49382716,0.032830147
1998,Cubs,90,73,831,792,1.049242424,0.524015708,0.552147239,0.028131532
1998,Reds,77,85,750,760,0.986842105,0.493377774,0.475308642,0.018069132
1998,Indians,89,73,850,779,1.09114249,0.543502382,0.549382716,0.005880334
1998,Rockies,77,85,826,855,0.966081871,0.482753497,0.475308642,0.007444855
1998,Tigers,65,97,722,863,0.836616454,0.411739477,0.401234568,0.010504909
1998,Marlins,54,108,667,923,0.722643554,0.343062018,0.333333333,0.009728685
1998,Astros,102,60,874,620,1.409677419,0.665237277,0.62962963,0.035607648
1998,Royals,72,89,714,899,0.794215795,0.386796025,0.447204969,0.060408944
1998,Dodgers,83,79,669,678,0.986725664,0.493318784,0.512345679,0.019026895
1998,Brewers,74,88,707,812,0.870689655,0.431204295,0.456790123,0.025585829
1998,Twins,70,92,734,818,0.897310513,0.446034374,0.432098765,0.013935609
1998,Expos,65,97,644,783,0.82247765,0.403508379,0.401234568,0.002273811
1998,Yankees,114,48,965,656,1.471036585,0.683939243,0.703703704,0.01976446
1998,Angels,88,74,706,645,1.094573643,0.545059877,0.543209877,0.00185
1998,Athletics,74,88,804,866,0.928406467,0.462925352,0.456790123,0.006135229
1998,Phillies,75,87,713,808,0.882425743,0.437783804,0.462962963,0.025179159
1998,Pirates,69,93,650,718,0.905292479,0.450414915,0.425925926,0.024488989
1998,Padres,98,64,749,635,1.179527559,0.581814844,0.604938272,0.023123427
1998,Mariners,76,85,859,855,1.004678363,0.50233371,0.472049689,0.03028402
1998,Giants,89,74,845,739,1.143437077,0.566620852,0.54601227,0.020608582
1998,Cardinals,83,79,810,782,1.035805627,0.517582501,0.512345679,0.005236822
1998,Rays,63,99,620,751,0.825565912,0.405313786,0.388888889,0.016424897
1998,Rangers,88,74,940,871,1.079219288,0.538045269,0.543209877,0.005164608
1998,Blue Jays,88,74,816,768,1.0625,0.530275229,0.543209877,0.012934647
1997,Angels,84,78,829,794,1.044080605,0.521554979,0.518518519,0.00303646
1997,Braves,101,61,791,581,1.361445783,0.649557432,0.62345679,0.026100642
1997,Orioles,98,64,812,681,1.19236417,0.587072446,0.604938272,0.017865825
1997,Red Sox,78,84,851,857,0.992998833,0.496487163,0.481481481,0.015005681
1997,White Sox,80,81,779,833,0.93517407,0.46653879,0.49689441,0.03035562
1997,Cubs,68,94,687,759,0.90513834,0.450330614,0.419753086,0.030577528
1997,Reds,76,86,651,764,0.852094241,0.420647406,0.469135802,0.048488396
1997,Indians,86,75,868,815,1.065030675,0.531460185,0.534161491,0.002701306
1997,Rockies,83,79,923,908,1.016519824,0.508191695,0.512345679,0.004153984
1997,Tigers,79,83,784,790,0.992405063,0.496188111,0.487654321,0.00853379
1997,Marlins,92,70,740,669,1.10612855,0.550262721,0.567901235,0.017638513
1997,Astros,84,78,777,660,1.177272727,0.580883435,0.518518519,0.062364917
1997,Royals,67,94,747,820,0.91097561,0.453515051,0.416149068,0.037365982
1997,Dodgers,88,74,742,645,1.150387597,0.56959473,0.543209877,0.026384853
1997,Twins,68,94,772,861,0.896631823,0.445660489,0.419753086,0.025907402
1997,Brewers,78,83,681,742,0.917789757,0.457211446,0.48447205,0.027260604
1997,Expos,78,84,691,740,0.933783784,0.465798313,0.481481481,0.015683169
1997,Yankees,96,66,891,688,1.29505814,0.626472016,0.592592593,0.033879423
1997,Angels,88,74,777,709,1.095909732,0.545664808,0.543209877,0.002454931
1997,Athletics,65,97,764,946,0.807610994,0.39475941,0.401234568,0.006475158
1997,Phillies,68,94,668,840,0.795238095,0.387406409,0.419753086,0.032346677
1997,Pirates,79,83,725,760,0.953947368,0.476444062,0.487654321,0.011210259
1997,Padres,76,86,795,891,0.892255892,0.443244506,0.469135802,0.025891297
1997,Mariners,90,72,925,833,1.110444178,0.552189267,0.555555556,0.003366288
1997,Giants,90,72,784,793,0.988650694,0.494293147,0.555555556,0.061262408
1997,Cardinals,73,89,689,708,0.973163842,0.486401943,0.450617284,0.035784659
1997,Rangers,77,85,807,823,0.980558931,0.490184995,0.475308642,0.014876353
1997,Blue Jays,76,86,654,694,0.942363112,0.470352515,0.469135802,0.001216712
1996,Braves,96,66,773,648,1.192901235,0.58729076,0.592592593,0.005301832
1996,Orioles,88,74,949,903,1.050941307,0.524822699,0.543209877,0.018387177
1996,Red Sox,85,77,928,921,1.007600434,0.503785776,0.524691358,0.020905582
1996,Angels,70,91,762,943,0.808059385,0.395024672,0.434782609,0.039757937
1996,White Sox,85,77,898,794,1.130982368,0.561234375,0.524691358,0.036543017
1996,Cubs,76,86,772,771,1.001297017,0.500648088,0.469135802,0.031512285
1996,Reds,81,81,778,773,1.006468305,0.503223693,0.5,0.003223693
1996,Indians,99,62,952,769,1.237971391,0.605144675,0.614906832,0.009762157
1996,Rockies,83,79,961,964,0.996887967,0.498441562,0.512345679,0.013904117
1996,Tigers,53,109,783,1103,0.70988214,0.335076608,0.327160494,0.007916114
1996,Marlins,80,82,688,703,0.978662873,0.489217645,0.49382716,0.004609516
1996,Astros,82,80,753,792,0.950757576,0.474773356,0.50617284,0.031399484
1996,Royals,75,86,746,786,0.949109415,0.473908127,0.465838509,0.008069617
1996,Dodgers,90,72,703,652,1.078220859,0.537585132,0.555555556,0.017970424
1996,Twins,78,84,877,900,0.974444444,0.487059005,0.481481481,0.005577524
1996,Brewers,80,82,894,899,0.994438265,0.497211399,0.49382716,0.003384239
1996,Expos,88,74,741,668,1.109281437,0.551671096,0.543209877,0.008461219
1996,Yankees,92,70,871,787,1.106734435,0.550533741,0.567901235,0.017367494
1996,Angels,71,91,746,779,0.957637997,0.478370784,0.438271605,0.040099179
1996,Athletics,78,84,861,900,0.956666667,0.477864349,0.481481481,0.003617132
1996,Phillies,67,95,650,790,0.82278481,0.403688133,0.413580247,0.009892114
1996,Pirates,73,89,776,833,0.931572629,0.464618673,0.450617284,0.014001389
1996,Padres,91,71,771,682,1.130498534,0.561023628,0.561728395,0.000704767
1996,Mariners,85,76,993,895,1.109497207,0.551767302,0.527950311,0.023816992
1996,Giants,68,94,752,862,0.872389791,0.432161449,0.419753086,0.012408363
1996,Cardinals,88,74,759,706,1.075070822,0.536130187,0.543209877,0.00707969
1996,Rangers,90,72,928,799,1.161451815,0.574281551,0.555555556,0.018725996
1996,Blue Jays,74,88,766,809,0.94684796,0.472718748,0.456790123,0.015928624
1995,Braves,90,54,645,540,1.194444444,0.587917329,0.625,0.037082671
1995,Orioles,71,73,704,640,1.1,0.547511312,0.493055556,0.054455757
1995,Red Sox,86,58,791,698,1.133237822,0.562215323,0.597222222,0.035006899
1995,Angels,78,67,801,697,1.149210904,0.569092877,0.537931034,0.031161842
1995,White Sox,68,76,755,758,0.996042216,0.498017192,0.472222222,0.02579497
1995,Cubs,73,71,693,671,1.032786885,0.516124837,0.506944444,0.009180393
1995,Reds,85,59,747,623,1.199036918,0.589775487,0.590277778,0.00050229
1995,Indians,100,44,840,607,1.383855025,0.656953267,0.694444444,0.037491177
1995,Rockies,77,67,785,783,1.002554278,0.501275508,0.534722222,0.033446714
1995,Tigers,60,84,654,844,0.774881517,0.375172361,0.416666667,0.041494306
1995,Marlins,67,76,673,673,1,0.5,0.468531469,0.031468531
1995,Astros,76,68,747,674,1.108308605,0.551237053,0.527777778,0.023459275
1995,Royals,70,74,629,691,0.910274964,0.453133697,0.486111111,0.032977414
1995,Dodgers,78,66,634,609,1.041050903,0.520104498,0.541666667,0.021562169
1995,Twins,56,88,703,889,0.790776153,0.384739165,0.388888889,0.004149724
1995,Brewers,65,79,740,747,0.990629183,0.49529264,0.451388889,0.043903751
1995,Expos,66,78,621,638,0.973354232,0.486499681,0.458333333,0.028166348
1995,Yankees,79,65,749,688,1.088662791,0.542373193,0.548611111,0.006237918
1995,Angels,69,75,657,618,1.063106796,0.530559642,0.479166667,0.051392976
1995,Athletics,67,77,730,761,0.959264126,0.479217569,0.465277778,0.013939791
1995,Phillies,69,75,615,658,0.934650456,0.466260021,0.479166667,0.012906646
1995,Pirates,58,86,629,736,0.854619565,0.422090454,0.402777778,0.019312676
1995,Padres,70,74,668,672,0.994047619,0.497014952,0.486111111,0.010903841
