Golfer,Dist,GinR,Putt,Scr,Avg
Chris Couch ,296.8,64.99,0.272,60.87,70.6
Chris DiMarco ,277.9,65.11,-0.157,60.47,70.91
Chris Kirk ,295.7,66.67,-0.164,57.66,70.41
Chris Riley ,279.3,64.81,-0.264,61.62,71.14
Chris Stroud ,291.2,67,-0.146,57.31,70.84
Colt Knost ,279,62.01,0.331,55.34,71.75
D.A. Points ,287.4,64.92,0.235,58.36,70.62
D.J. Brigman ,290.2,60.92,-0.24,53.49,71.8
D.J. Trahan ,298.6,68.99,-0.82,58.27,70.87
Daniel Summerhays ,284.9,63.24,-0.257,55.07,72.49
David Duval ,296.3,64.1,-0.4,52.66,71.87
David Hearn ,290.9,68.82,0.166,59.47,70.71
David Mathis ,282,64.29,0.223,60.81,70.9
David Toms ,279.1,70.2,0.503,61.21,69.71
Davis Love III ,298.5,68.25,-0.28,54,70.55
Dean Wilson ,276.8,62.63,0.522,61.63,71.19
Derek Lamely ,297.9,62.87,-0.295,50.83,72.61
Dustin Johnson ,314.2,68.39,-0.497,51.24,70.46
Ernie Els ,288.1,69.89,-0.699,51.07,71.06
Fabian Gomez ,288.4,65.2,-0.113,52.1,71.64
Fredrik Jacobson ,287.4,63.56,0.654,60.62,69.85
Garrett Willis ,279.7,64.41,-0.018,58.14,71.46
Gary Woodland ,310.5,69.41,-0.17,58.2,69.87
Geoff Ogilvy ,290,62.63,0.498,59.68,70.16
George McNeill ,295,64.21,0.005,56.23,70.8
Graeme McDowell ,289.5,66.08,0.081,54.01,71
Greg Chalmers ,279.6,61.24,0.673,65.17,70.6
Harrison Frazar ,301.8,62.45,-0.409,54.08,70.89
Heath Slocum ,281.9,71.4,-0.486,54.53,70.99
Hunter Haas ,288.5,66.24,0.363,59.93,70.83
Hunter Mahan ,291.6,68.79,0.556,58,69.9
Ian Poulter ,282.8,65.58,0.32,56.33,70.82
J.B. Holmes ,318.4,66.46,-0.096,54.06,70.52
J.J. Henry ,291.1,68.96,0.122,56.03,70.67
J.P. Hayes ,282.7,61.52,0.1,58.29,72.05
James Driscoll ,298.5,63.5,-0.039,56.91,71.28
Jarrod Lyle ,286.1,61.95,-0.135,57.3,71.62
Jason Bohn ,284.9,67.3,-0.003,58.25,71.34
Jason Day ,302.6,64.92,0.624,64.64,69.71
Jason Dufner ,286.8,66.95,-0.055,58.62,70.2
Jeff Overton ,295.3,64.53,0.141,54.73,70.8
Jerry Kelly ,275.6,66.25,0.168,62.55,70.24
Jhonattan Vegas ,304.9,67.22,-0.315,54.66,70.97
Jim Furyk ,281.4,67.57,-0.218,58.37,70.37
Jim Herman ,301.7,67.94,-0.413,56.53,71.38
Jim Renner ,296.8,65.01,0.173,58.22,71.37
Jimmy Walker ,298.8,63.92,0.232,59.45,70.42
Joe Durant ,283.6,71.26,-0.829,59.1,71.43
Joe Ogilvie ,291.6,62.6,0.197,56.98,71.22
John Merrick ,297.2,68.69,0.091,58.03,70.42
John Rollins ,296.7,69.08,-0.112,56.28,70.58
John Senden ,293.3,70.86,0.187,54.77,70.2
Johnson Wagner ,282.2,67.17,0.394,57.8,70.65
Jonathan Byrd ,291.6,65.65,0.169,57.2,70.78
Joseph Bramlett ,295.6,65.21,-0.531,56.51,71.71
Josh Teater ,302.3,66.89,-0.136,54.45,71.06
Justin Hicks ,286,65.71,-0.943,50.47,72.01
Justin Leonard ,280.1,64.91,-0.113,61.97,71
Justin Rose ,290.6,69.48,0.042,57.92,70.33
K.J. Choi ,285.6,65.93,0.152,60.87,69.99
Keegan Bradley ,300.7,65.9,0.041,56.18,70.26
Kent Jones ,285,66.12,-0.001,54.5,71
Kevin Chappell ,295.8,64.89,-0.566,58.46,71.22
Kevin Kisner ,284.3,60.59,0.132,54.85,71.86
Kevin Na ,279.8,61.04,0.604,63.5,70.43
Kevin Stadler ,293.2,68.06,-0.385,52.39,71.3
Kevin Streelman ,289.2,65.62,0.411,60.5,70.54
Kris Blanks ,284.9,68.89,-0.479,57.94,70.95
Kyle Stanley ,304.6,68.21,-0.533,54.17,70.32
Lee Janzen ,290.1,63.1,0.17,54.84,71.52
Lucas Glover ,294.6,65.92,0.222,53.74,70.44
Luke Donald ,284.1,67.33,0.844,63.71,68.86
Marc Leishman ,296,64.43,-0.118,58.53,70.95
Marc Turnesa ,282.8,65.6,0.14,52.8,71.53
Mark Wilson ,284.8,66.03,0.184,62.97,70.53
Martin Laird ,303,66.59,0.142,59.08,70.34
Martin Piller ,292.2,61.02,0.115,52.66,72.54
Matt Bettencourt ,288.3,62.1,0.146,54.97,71.69
Matt Jones ,293.9,62.36,-0.002,56.96,71.52
Matt Kuchar ,286.2,66.98,0.445,62.91,69.51
Matt McQuillan ,285.4,62.63,0.503,57.57,71.63
Michael Bradley ,290.7,67.62,-0.163,51.72,70.88
Michael Connell ,279.5,63.82,-0.091,60.81,71.33
Michael Putnam ,297.2,64.37,0.451,58.17,70.99
Michael Thompson ,291,65.3,0.477,60.75,70.94
Nate Smith ,281.2,61.57,0.324,58.07,71.83
Nathan Green ,285,62.34,0.111,60.92,71.3
Nick O'Hern ,276.3,66.67,-0.021,59.22,70.8
Nick Watney ,301.9,66.88,0.559,62.96,69.52
Padraig Harrington ,294.7,64.12,0.252,59.84,70.81
Pat Perez ,291.4,65.42,0.166,58.35,70.83
Paul Goydos ,274.8,64.47,-0.62,55.79,71.72
Paul Stankowski ,283.9,65.2,0.352,59.42,71.16
Phil Mickelson ,299.8,66.96,-0.139,62.01,69.89
Retief Goosen ,289.9,64.4,0.308,58.28,70.73
Rich Beem ,286.1,61.95,-0.538,52.89,72.76
Richard S. Johnson ,276.6,63.41,0.03,54.19,71.9
Rickie Fowler ,299.5,64.47,0.377,55.02,70.01
Ricky Barnes ,293.3,66.52,-0.51,56.6,70.57
Robert Allenby ,290.2,67.54,-0.2,58.76,70.28
Robert Garrigus ,313.4,66.13,-0.425,53.56,70.93
Robert Karlsson ,299.2,63.37,0.085,60.41,70.21
Rocco Mediate ,275.5,62.16,-0.559,51.8,72.98
Rod Pampling ,291.6,65.89,0.031,63.1,70.8
Roland Thatcher ,293.1,64.26,0.223,58,71.48
Rory Sabbatini ,292.5,65.84,-0.379,58.23,70.46
Ryan Moore ,290.1,62.89,0.541,60.08,70.34
Ryan Palmer ,299.5,63.75,-0.124,59.96,70.85
Ryuji Imada ,283.4,64.26,-0.137,58.8,71.12
Scott Gutschewski ,298,62.62,-0.712,56.68,71.58
Scott McCarron ,291.6,60.75,0.591,60.56,71.13
Scott Piercy ,305.4,65.84,0.235,57.58,70.79
Scott Stallings ,303.7,66.6,-0.153,53.52,71.04
Sean O'Hair ,294.6,63.17,-0.22,54.74,70.81
Sergio Garcia ,299.2,66.85,-0.192,60.16,69.56
Shane Bertsch ,280.1,64.38,0.126,59.33,70.87
Shaun Micheel ,286.1,63.01,0.204,58.64,71.68
Spencer Levin ,286.3,67.99,-0.042,60.35,69.85
Stephen Ames ,283.8,65.3,-0.025,60.59,71.12
Steve Elkington ,285.4,66.44,0.272,60.26,71.6
Steve Flesch ,282.5,59.85,0.322,57,71.12
Steve Marino ,295.2,65.79,0.085,57.69,70.74
Steve Stricker ,288.8,66.02,0.769,64.93,69.36
Steven Bowditch ,308.3,63.62,0.193,52.33,71.22
Stewart Cink ,291.8,64.31,0.187,57.08,70.7
Stuart Appleby ,287.5,61.62,-0.155,55.9,71.55
Sunghoon Kang ,294.2,64.78,-0.116,56.68,70.85
Tag Ridings ,303.3,63.58,0.074,55.37,71.33
Tim Herron ,291.8,65.64,0.129,59.08,70.63
Tim Petrovic ,280.5,62.17,0.221,60.49,71.33
Tom Gillis ,290.1,66.36,-0.385,55.86,71.13
Tommy Gainey ,296.7,67,0.136,55.39,70.81
Trevor Immelman ,288.5,68.12,0.326,58.09,70.43
Troy Matteson ,300.2,65.64,-0.128,55.58,71.18
Troy Merritt ,286.8,64.12,-0.334,56.35,72.08
Vaughn Taylor ,284.1,66.04,0.193,58.46,70.91
Vijay Singh ,294.3,66.46,-0.13,57.23,70.61
Webb Simpson ,296.2,69.84,0.212,62.22,69.25
Will Strickler ,304.1,62.06,0.339,54.21,72.18
William McGirt ,289.9,68.63,0.223,59.75,70.73
Woody Austin ,287.6,66.88,-0.11,63.92,70.94
Y.E. Yang ,290.2,62.52,0.273,61.31,70.28
Zach Johnson ,278.2,66.38,0.573,63.98,69.97
Zack Miller ,299.5,61.79,-0.433,54.26,71.89
