Name,GP,P,TOI
Jussi Jokinen,79,46,17.66666667
Kyle Okposo,79,45,17.06666667
Matt Read,79,47,17.06666667
Dominic Moore,79,25,15.53333333
Chris Stewart,79,30,15.43333333
Ryan Jones,79,33,15.43333333
Artem Anisimov,79,36,15.4
Steve Sullivan,79,48,15.36666667
Lars Eller,79,28,15.31666667
Jiri Tlusty,79,36,14.9
Viktor Stalberg,79,43,14.06666667
Shawn Matthias,79,24,13.81666667
Raffi Torres,79,26,11.36666667
Tim Brent,79,24,10.88333333
Alex Ovechkin,78,65,19.8
David Legwand,78,53,18.51666667
Jordan Eberle,78,76,17.6
Thomas Vanek,78,61,16.93333333
Jarret Stoll,78,21,16.68333333
Jakub Voracek,78,49,16.28333333
Michael Grabner,78,32,15.55
Jim Slater,78,21,14.76666667
Eric Belanger,78,16,14.73333333
Andrew Brunette,78,27,13.55
Jamie McGinn,78,37,13.45
Tanner Glass,78,16,13.41666667
Gregory Campbell,78,16,12.8
Manny Malhotra,78,18,12.35
Matt Hendricks,78,9,12.11666667
Ilya Kovalchuk,77,83,24.43333333
Martin St. Louis,77,74,22.63333333
Claude Giroux,77,93,21.55
Ryan Kesler,77,49,20.1
Milan Michalek,77,60,19.55
Radim Vrbata,77,62,18.65
R.J. Umberger,77,40,18.18333333
Johan Franzen,77,56,17.7
Alexander Semin,77,54,16.78333333
Brandon Dubinsky,77,34,16.26666667
Nick Spaling,77,22,15.71666667
Kyle Wellwood,77,47,14.95
Derek Dorsett,77,20,14.7
Nick Johnson,77,26,14.45
Sean Couturier,77,27,14.13333333
Jordin Tootoo,77,30,13.15
Anthony Stewart,77,20,8.116666667
Ryan Callahan,76,54,21.03333333
Ryane Clowe,76,45,17.86666667
Rene Bourque,76,24,17.83333333
Brad Marchand,76,55,17.61666667
Alex Burmistrov,76,28,16.66666667
Dave Bolland,76,37,16.5
Patric Hornqvist,76,43,15.33333333
David Steckel,76,13,12.83333333
Torrey Mitchell,76,19,12.43333333
Andrew Desjardins,76,17,9.583333333
Evgeni Malkin,75,109,21.01666667
Daniel Alfredsson,75,59,18.95
Sam Gagner,75,47,17.18333333
Sergei Kostitsyn,75,43,16.46666667
Danny Cleary,75,33,15.98333333
Steve Downie,75,41,15.93333333
Boyd Gordon,75,23,15.93333333
Colton Gillies,75,8,10.08333333
Tim Jackman,75,7,9.116666667
Cody McLeod,75,11,7.2
Bryan Little,74,46,20.21666667
Mike Ribeiro,74,63,20.05
Patrick Sharp,74,69,19.9
Mike Richards,74,44,18.88333333
Steve Ott,74,39,18.35
Adam Henrique,74,51,18.16666667
Saku Koivu,74,38,18.13333333
Mikhail Grabovski,74,51,17.6
Evander Kane,74,57,17.51666667
Cal Clutterbuck,74,27,16.35
Derick Brassard,74,41,16.33333333
Blake Comeau,74,15,15.45
Tom Pyatt,74,19,14.8
Eric Nystrom,74,21,13.75
Benoit Pouliot,74,32,12.21666667
Tomas Holmstrom,74,24,11.86666667
Matt Cullen,73,35,18.93333333
Tyler Bozak,73,47,18.85
Jaromir Jagr,73,54,16.33333333
Clarke MacArthur,73,43,15.85
Vladimir Sobotka,73,20,15.85
Daymond Langkow,73,30,15.75
Patrick Dwyer,73,12,15.36666667
Radek Dvorak,73,21,14.28333333
Ruslan Fedotenko,73,20,13.6
Joel Ward,73,18,12.43333333
Taylor Pyatt,73,19,12.31666667
Matt Halischuk,73,28,11.25
Mike Fisher,72,51,19.3
Daniel Sedin,72,67,18.81666667
Tuomo Ruutu,72,34,16.46666667
David Jones,72,37,15.75
Andrei Kostitsyn,72,36,15.11666667
Craig Smith,72,36,14.18333333
Jason Arnott,72,34,14.08333333
Mike Knuble,72,18,13.95
Trevor Lewis,72,7,13.23333333
Chris Neil,72,28,12.8
Ryan Carter,72,8,10.35
Chris Thorburn,72,11,10.18333333
Tom Wandell,72,15,9.733333333
Kris Versteeg,71,54,19.91666667
Martin Erat,71,58,18.48333333
Jamie Benn,71,63,18.06666667
Chris Higgins,71,43,16.31666667
Ville Leino,71,25,15.91666667
Todd Bertuzzi,71,38,15.55
Marcus Kruger,71,26,15.4
Niklas Hagman,71,23,14.58333333
Bryan Bickell,71,24,12.13333333
Cory Emmerton,71,10,8.1
Pavel Datsyuk,70,67,19.56666667
Danny Briere,70,49,17.36666667
Tim Connolly,70,36,17
Nikolai Kulemin,70,28,15.21666667
Paul Gaustad,70,21,14.76666667
Jamie Langenbrunner,70,24,14.61666667
Brian Rolston,70,24,14.28333333
Matt Beleskey,70,15,10.26666667
Ales Hemsky,69,36,17.6
Devin Setoguchi,69,36,17.6
Nik Antropov,69,35,16.51666667
T.J. Galiardi,69,15,13.05
Jeff Halpern,69,16,12.6
Jerred Smithson,69,6,11.71666667
Daniel Paille,69,15,11.5
Ryan Malone,68,48,17.68333333
Colin Wilson,68,35,16.13333333
Nate Thompson,68,15,14.81666667
Darren Helm,68,26,14.51666667
Brett Connolly,68,15,11.46666667
Joe Vitale,68,14,11.18333333
Dale Weise,68,8,8.166666667
Curtis Glencross,67,48,18.01666667
Chad LaRose,67,32,16.76666667
Michal Handzus,67,24,14.45
Joey Crabb,67,26,13.45
Ryan Johansen,67,21,12.73333333
Colin Fraser,67,8,9.733333333
Brad Winchester,67,10,7.8
Joffrey Lupul,66,67,18.61666667
Mike Cammalleri,66,41,18.11666667
Derek MacKenzie,66,14,10.5
Zac Rinaldo,66,9,7.483333333
Dustin Penner,65,17,14.31666667
Brad Boyes,65,23,13.16666667
Adam Burish,65,19,12.78333333
Kaspars Daugavins,65,11,11.33333333
Alex Tanguay,64,49,19.05
Vincent Lecavalier,64,49,18.93333333
Jeff Skinner,64,44,18.61666667
Martin Hanzal,64,34,18.45
Carl Hagelin,64,38,15.05
Mathieu Perreault,64,30,12.03333333
Arron Asham,64,16,9.233333333
Patrick Kaleta,63,10,13.15
Michael Frolik,63,15,12.86666667
John Mitchell,63,16,10.16666667
Tim Stapleton,63,27,10.15
Ben Eager,63,13,8.533333333
Jordan Staal,62,50,20.05
Ryan Nugent-Hopkins,62,52,17.6
Sean Bergenheim,62,23,16.41666667
Mark Letestu,62,25,15.65
David Booth,62,30,14.93333333
Nathan Gerbe,62,25,14.2
Matthew Lombardi,62,18,13.56666667
Jay Pandolfo,62,3,10.91666667
Brad Staubitz,62,1,6.516666667
Taylor Hall,61,53,18.21666667
Lee Stempniak,61,28,16.23333333
Matt Stajan,61,18,13.01666667
Mathieu Darche,61,12,12.13333333
Marty Reasoner,61,6,11.61666667
Roman Horak,61,11,10.2
Tyler Kennedy,60,33,14.36666667
Mike Santorelli,60,11,12.4
Andreas Nodl,60,8,11.71666667
Matt Ellis,60,8,9.716666667
Lennart Petrell,60,9,9.633333333
Mike Rupp,60,5,6.65
Ryan Reaves,60,4,6.533333333
