Team,Year,Runs,T,HR,SB,OPS
Tampa Bay Rays,2008,774,37,180,142,0.762
Pittsburgh Pirates,2008,735,21,153,57,0.723
Philadelphia Phillies,2008,799,36,214,136,0.77
Florida Marlins,2008,770,28,208,76,0.759
Milwaukee Brewers,2008,750,35,198,108,0.757
Washington Nationals,2008,641,26,117,81,0.696
Arizona Diamondbacks,2008,720,47,159,58,0.742
San Diego Padres,2008,637,27,154,36,0.707
Cincinnati Reds,2008,704,24,187,85,0.729
Oakland Athletics,2008,646,23,125,88,0.686
New York Yankees,2007,968,32,201,123,0.829
Detroit Tigers,2007,887,50,177,103,0.802
Seattle Mariners,2007,794,22,153,81,0.762
Los Angeles Angels,2007,822,23,123,139,0.762
Colorado Rockies,2007,860,36,171,100,0.791
Boston Red Sox,2007,867,35,166,96,0.806
New York Mets,2007,804,27,177,200,0.775
Los Angeles Dodgers,2007,735,35,129,137,0.743
Atlanta Braves,2007,810,27,176,64,0.774
Philadelphia Phillies,2007,892,41,213,138,0.812
St. Louis Cardinals,2007,725,13,141,56,0.743
Baltimore Orioles,2007,756,30,142,144,0.746
Chicago Cubs,2007,752,28,151,86,0.754
Cleveland Indians,2007,811,27,178,72,0.771
Tampa Bay Devil Rays,2007,782,36,187,131,0.769
Florida Marlins,2007,790,38,201,105,0.784
Cincinnati Reds,2007,783,23,204,97,0.772
Minnesota Twins,2007,718,36,118,112,0.721
Texas Rangers,2007,816,36,179,88,0.754
Pittsburgh Pirates,2007,724,31,148,68,0.736
Milwaukee Brewers,2007,801,37,231,96,0.785
Kansas City Royals,2007,706,46,102,78,0.71
Houston Astros,2007,723,30,167,65,0.742
Toronto Blue Jays,2007,753,24,165,57,0.746
Oakland Athletics,2007,741,16,171,52,0.745
Washington Nationals,2007,673,31,123,69,0.715
San Francisco Giants,2007,683,37,131,119,0.708
San Diego Padres,2007,741,31,171,55,0.732
Arizona Diamondbacks,2007,712,40,171,109,0.734
Chicago White Sox,2007,693,20,190,78,0.722
