Name,R,LG,K,W ,HR,WHIP
Saunders,4.9355,AL,4.8871,3.0968,1.4032,1.4301
Gallardo,3.781,NL,9.8887,4.5566,1.018,1.3142
de la Ros,4.6216,NL,9.3892,4.0378,0.973,1.3784
Nolasco,5.4,NL,9.4865,2.1405,1.1189,1.2541
Pelfrey,5.4684,NL,5.2242,3.2224,0.8788,1.5136
Hernandez,5.4882,NL,4.9982,3.2831,0.931,1.5626
Oswalt,4.1195,NL,6.8493,2.0846,0.943,1.2408
Niemann,4.1845,AL,6.2269,2.9391,0.8469,1.3506
Cahill,4.9869,AL,4.5336,3.6269,1.3601,1.4384
Romero,4.4494,AL,7.1292,3.9944,0.9101,1.5225
Lilly,3.3559,NL,7.678,1.8305,1.1186,1.0565
Hammel,4.7887,NL,6.7755,2.1396,0.866,1.3868
Ohlendorf,4.0755,NL,5.5528,2.7,1.2736,1.234
Lackey,4.2873,AL,7.0945,2.3989,0.8677,1.2703
Washburn,3.9375,AL,5.1136,2.5057,1.1761,1.1875
Anderson,4.8251,AL,7.6996,2.3099,1.0266,1.2833
Penny,5.2962,NL,5.6596,2.6481,1.1423,1.3962
Cueto,4.7276,NL,6.9339,3.2043,1.2607,1.3599
Kershaw,2.8947,NL,9.7368,4.7895,0.3684,1.2281
Porcello,4.2715,AL,4.6934,2.7422,1.2129,1.3359
Scherzer,4.9667,NL,9.1937,3.3288,1.0568,1.3444
Zambrano,4.1457,NL,8.0787,4.1457,0.5315,1.376
Santana,3.618,NL,7.884,2.484,1.08,1.212
Happ,2.9819,NL,6.4518,3.0361,1.0843,1.2349
Wells,3.6472,NL,5.6613,2.504,0.7621,1.2762
Sanchez,4.5184,NL,9.7531,4.849,1.0469,1.3653
Harang,4.5462,NL,7.8727,2.384,1.3306,1.4107
Moyer,5.0556,NL,5.2222,2.3889,1.5,1.358
Suppan,5.901,NL,4.4536,4.1196,1.3918,1.6948
Tallet,5.5456,AL,6.722,4.0332,1.1203,1.5
Volstad,5.6604,NL,6.0566,3.3396,1.6415,1.434
Cook,4.3291,NL,4.443,2.6772,1.0823,1.4051
Chamberla,5.3771,AL,7.6081,4.3475,1.2013,1.5445
Kawakami,4.2026,NL,6.0448,3.2814,0.8635,1.3433
Moehler,5.8772,NL,5.2953,2.9677,1.222,1.5388
Bannister,5.4935,AL,5.7273,2.9221,0.8766,1.3701
Richard,4.7647,NL,6.7059,4.1765,1,1.4706
Gaudin,5.1923,AL,8.491,4.6425,0.8552,1.5068
Kazmir,5.1923,AL,7.1471,3.6652,0.9774,1.4186
Padilla,4.6425,NL,5.9253,3.2986,0.9774,1.4253
Snell,5.0897,AL,5.5241,5.1517,0.869,1.5931
Galarraga,5.826,AL,5.9513,4.1972,1.5035,1.5661
Hochevar,6.8601,AL,6.6713,2.8951,1.4476,1.4895
Harden,4.7234,NL,10.9149,4.2766,1.4681,1.3404
Parra,6.9429,NL,7.4571,4.95,1.2214,1.8286
Santana,5.3484,AL,6.895,3.0286,1.5465,1.4749
Richmond,5.8413,AL,7.5938,3.8293,1.7524,1.4856
Holland,6.3759,AL,6.9614,3.0578,1.6916,1.4964
Braden,4.1488,AL,5.3341,2.7659,0.5927,1.361
Liriano,6.1244,AL,8.0341,4.2805,1.3829,1.5512
Contreras,5.8785,NL,7.2456,3.6228,0.8886,1.4734
Wakefield,4.6504,AL,4.9974,3.4704,0.8329,1.4422
Masterson,5.0799,AL,8.2809,4.1753,0.8351,1.4536
Meche,5.6512,AL,6.6279,4.0465,1.186,1.5659
Huff,5.7506,AL,4.5584,2.8753,1.1221,1.5584
Price,5.0494,AL,7.1532,3.787,1.1922,1.3481
Hanson,2.9608,NL,8.1775,3.2428,0.705,1.1828
Carmona,6.9654,AL,5.6729,5.0266,1.1489,1.7633
Bergesen,3.7946,AL,4.7432,2.3351,0.8027,1.2811
Sowers,5.327,AL,3.7216,3.7946,0.8027,1.5081
Davies,5.561,AL,6.2927,4.8293,1.3171,1.5285
Wellemeye,6.4741,NL,5.7384,4.1935,1.3978,1.7738
Laffey,5.1041,AL,4.3644,4.2164,0.6658,1.6192
Palmer,4.0797,AL,5.1181,4.0797,0.8901,1.3187
Redding,5.4,NL,5.7,3.75,1.35,1.4333
Berken,6.9192,AL,4.9638,3.3092,1.429,1.7382
Owings,5.6407,NL,5.1142,4.8134,1.3538,1.5877
Lohse,5.2776,NL,5.8895,2.7535,1.2238,1.3683
Kuroda,4.5256,NL,6.6733,1.8409,0.9205,1.142
Bush,6.6122,NL,7.0058,2.9125,1.4956,1.4694
Bailey,4.8441,NL,6.8294,4.1294,0.9529,1.4735
Hampton,5.7054,NL,5.9464,3.6964,1.0446,1.5536
Hunter,4.4196,AL,5.1429,2.6518,1.0446,1.3036
Karstens,5.5,NL,4.3333,3.75,1,1.4815
Stammen,5.7066,NL,4.0883,2.0442,1.1924,1.2871
Hendricks,5.0571,AL,5.2286,2.8286,1.3714,1.419
West,5.4,NL,6.0968,3.8323,0.9581,1.5387
Geer,6.3994,NL,4.7338,2.0162,2.3669,1.3539
Peavy,3.6295,AL,9.7377,3.0098,0.7082,1.1213
Hernandez,5.5066,AL,6.0395,4.0855,2.398,1.6184
Sonnansti,7.6756,AL,5.4181,3.0702,1.7157,1.6555
Gonzalez,6.2027,AL,9.9426,5.1081,1.277,1.7128
Paulino,6.727,NL,8.57,3.4096,1.843,1.6689
McCarthy,5.0856,AL,6.0103,3.3288,1.2021,1.3562
Morton,4.5464,NL,5.7526,3.7113,0.6495,1.4639
Perkins,5.9792,AL,4.2042,2.1488,1.2145,1.4844
Rowland-S,4.0173,AL,4.8581,2.5225,0.8408,1.1834
Johnson,5.1563,NL,8.0625,2.9063,1.7813,1.3333
Villanuev,5.4375,NL,7.7813,3.2813,1.2188,1.4271
Mujica,4.516,NL,7.3025,1.8256,1.3452,1.2811
Carrasco,4.05,AL,5.9786,2.7964,0.4821,1.4143
Cecil,5.6893,AL,6.6536,3.6643,1.6393,1.65
Jakubausk,5.8065,AL,4.5484,2.6129,1.4516,1.2688
Miner,4.7762,AL,6.0433,4.3863,1.0722,1.5812
Buchholz,4.3043,AL,6.6522,3.5217,1.2717,1.3804
Vargas,5.2036,AL,5.3018,2.3564,1.5709,1.3309
Mazzaro,6.0109,AL,5.8139,3.8431,1.1825,1.7409
Mock,6.4051,NL,7.0949,4.3358,0.8869,1.7299
Zimmerman,5.0255,NL,9.0657,2.8577,0.9854,1.3577
Slowey,4.9632,AL,7.4449,1.489,1.489,1.4118
Petit,6.223,NL,7.4275,3.4126,1.9071,1.5167
Parnell,5.7057,NL,7.5396,4.6868,0.8151,1.6642
Bass,5.4208,AL,5.6293,4.5869,1.1467,1.7375
Hughes,3.2442,AL,10.0465,2.9302,0.8372,1.1163
Sanchez,4.0814,NL,7.4302,4.814,1.0465,1.5116
Martis,5.463,NL,3.572,4.0973,1.1556,1.4241
Ortiz,5.8833,NL,6.8288,5.0428,0.8405,1.6693
Marshall,4.5352,NL,7.1719,3.375,1.0547,1.4414
Aceves,3.8571,AL,7.3929,1.7143,1.0714,1.0119
Duensing,3.9643,AL,5.6786,3.3214,0.75,1.369
Coffey,3.012,NL,6.992,2.259,0.8606,1.1594
Bailey,1.836,AL,9.828,2.592,0.54,0.876
Park,4.644,NL,7.884,3.564,0.54,1.404
Bedard,3.1446,AL,9.759,3.6867,0.8675,1.1928
Troncoso,3.2661,NL,5.9879,3.7016,0.3266,1.4153
Fulchino,3.622,NL,7.7927,2.9634,0.7683,1.1829
Maine,4.6475,NL,6.0861,4.2049,0.8852,1.291
Hart,6.1111,NL,5.7778,4.8889,1.2222,1.7407
Olson,5.8257,AL,5.2656,3.8091,2.1286,1.4066
Lowe,4.3875,AL,7.7625,3.2625,0.7875,1.25
Miller,5.85,NL,6.6375,4.8375,0.7875,1.6
Thompson,5.0625,NL,3.825,2.5875,0.9,1.35
Camp,4.0669,AL,6.5523,3.2762,0.7908,1.2803
Weaver,3.8734,NL,7.2911,3.7595,0.7975,1.519
Wright,5.8101,AL,6.8354,5.0127,0.9114,1.481
Lyon,2.8602,AL,6.5212,3.5466,0.8008,1.1059
Wuertz,2.8602,AL,11.6695,2.6314,0.6864,0.9534
Smoltz,6.3462,NL,8.4231,2.0769,1.2692,1.4487
Buckner,6.6336,NL,7.4483,3.375,1.3966,1.5905
Cormier,3.6078,AL,4.1897,2.9095,0.6983,1.2931
Madson,3.375,NL,9.0776,2.5603,0.8147,1.2284
Martin,4.6753,NL,4.3247,2.8052,1.6364,1.4156
Guerrier,2.7118,AL,5.5415,1.8865,1.179,0.9694
Broxton,2.8421,NL,13.5,3.4342,0.4737,0.9605
Masset,2.6053,NL,8.2895,2.8421,0.7105,1.0263
Young,5.5658,NL,5.9211,4.7368,1.4211,1.4474
Detwiler,5.1145,NL,5.1145,3.9251,0.3568,1.5859
Rodney,4.5198,AL,7.2555,4.8767,0.9515,1.467
Soriano,2.9736,NL,12.1322,3.2115,0.7137,1.0573
Gregerson,3.48,NL,11.16,3.72,0.36,1.24
League,4.8214,AL,9.1607,2.5313,0.9643,1.2455
Gonzalez,3.3901,NL,10.8969,3.9955,0.8475,1.1973
Marmol,3.527,NL,11.3108,7.9054,0.2432,1.4595
Tejeda,3.6652,AL,10.629,6.1086,0.4887,1.2624
Wilson,3.543,AL,10.2624,3.9095,0.3665,1.3303
Ziegler,3.3136,AL,6.6273,3.4364,0.2455,1.5
Moylan,3.5753,NL,7.5205,4.3151,0,1.3699
Oliver,2.7123,AL,8.0137,2.7123,0.6164,1.137
Stauffer,3.8219,NL,6.5342,4.1918,0.9863,1.4384
Wells,5.3257,NL,5.3257,4.9541,0.7431,1.3761
Grabow,3.4839,NL,7.0922,4.977,0.6221,1.4101
Heilman,4.2304,NL,8.0876,4.2304,1.1198,1.4101
Thornton,2.7373,AL,10.8249,2.4885,0.6221,1.0783
Wilson,3.3594,NL,10.3272,3.3594,0.3733,1.2028
Badenhop,4,NL,7.125,3,0.625,1.3194
Baez,4.5209,AL,5.0233,2.7628,1.0047,1.1302
Aardsma,2.9019,AL,10.0935,4.2897,0.5047,1.1636
Batista,4.6682,AL,6.5607,4.9206,0.8832,1.6542
Gutierrez,4.1831,NL,8.3662,3.8028,0.2535,1.3662
Ohka,5.9577,AL,3.9296,2.4085,2.2817,1.3521
Belisario,2.6745,NL,8.1509,3.6934,0.5094,1.1462
Myers,4.8396,NL,6.3679,2.9292,2.2925,1.3726
Figueroa,4.2227,NL,7.5498,3.0711,1.0237,1.4787
Stokes,4.2227,NL,5.7583,4.8626,0.7678,1.564
Johnson,4.1143,AL,6.3,2.9571,1.0286,1.3714
Pena,4.7571,AL,7.0714,2.5714,0.9,1.4429
Rauch,3.8571,AL,6.3,2.9571,0.7714,1.3286
Bell,2.7129,NL,10.2057,3.1005,0.3876,1.1196
Breslow,4.0048,AL,7.1053,3.7464,1.0335,1.1053
Durbin,4.9091,NL,8.0096,6.0718,1.0335,1.4785
Green,4.7799,NL,6.9761,4.6507,0.6459,1.4354
Morrow,4.9091,AL,8.1388,5.6842,1.2919,1.5789
Nippert,4.0048,AL,6.9761,3.7464,0.9043,1.3349
Ramirez,3.3589,AL,6.7177,4.134,0.9043,1.3349
Sherrill,1.6957,NL,7.9565,3.1304,0.5217,1.1159
Gregg,4.9806,NL,9.3058,3.932,1.7039,1.3107
Medders,3.4078,NL,7.6019,4.1942,0.7864,1.3835
Nathan,2.0971,AL,11.665,2.8835,0.9175,0.932
Nunez,4.3252,NL,7.8641,3.5388,1.7039,1.2524
Papelbon,1.9853,AL,10.0588,3.1765,0.6618,1.1471
Rodriguez,4.5,NL,9.6618,5.0294,0.9265,1.3088
Carlson,4.9212,AL,6.7833,2.7931,0.931,1.3005
Medlen,4.5222,NL,9.5764,3.9901,0.665,1.4039
Balfour,5.0792,AL,9.2228,4.4109,0.802,1.3663
Chavez,4.4109,NL,6.2822,2.9406,1.4703,1.3515
French,6.0149,AL,5.6139,3.7426,1.4703,1.7079
Outman,4.0099,AL,7.0842,3.3416,1.203,1.1584
Albers,5.7761,AL,6.5821,4.8358,0.403,1.7313
Cordero,2.835,NL,7.83,4.05,0.27,1.32
Howell,2.97,AL,10.665,4.455,0.945,1.2
McClellan,3.645,NL,6.885,4.59,0.54,1.35
Uehara,4.455,AL,6.48,1.62,0.945,1.245
Lewis,5.0201,AL,8.4121,3.9347,1.7638,1.3719
Rivera,1.8995,AL,9.7688,1.6281,0.9497,0.9045
Perez,6.9545,NL,8.4545,7.9091,1.6364,1.9242
Bulger,3.5635,AL,9.3198,4.1117,0.9594,1.1574
Gonzalez,5.648,AL,5.3724,3.8571,0.551,1.5918
Lehr,5.3724,NL,4.5459,3.8571,1.9286,1.5306
Meredith,4.2704,AL,5.0969,3.4439,0.551,1.5
Mota,3.4439,NL,5.3724,3.3061,0.8265,1.1786
Tillman,5.5385,AL,5.4,3.3231,2.0769,1.5538
Dickey,4.7565,AL,5.8756,4.1969,1.1192,1.6166
White,3.2176,AL,3.9171,2.7979,0.4197,1.0881
Hanrahan,5.625,NL,10.125,4.7813,0.4219,1.6719
Howry,3.6754,NL,6.5026,3.2513,0.7068,1.1466
Harrison,6.1105,AL,4.8316,3.2684,1.2789,1.6421
Hawkins,2.2737,NL,6.3947,2.2737,0.9947,1.2
McDonald,4.8571,NL,7.7143,4.8571,0.8571,1.4921
Olsen,6.4628,NL,6.0319,3.5904,1.5798,1.7234
Affeldt,2.0214,NL,7.9412,4.4759,0.4332,1.1711
Chen,6.0642,AL,6.4973,3.6096,1.7326,1.5882
Colon,6.0642,AL,5.4866,3.0321,1.877,1.4439
Dotel,3.754,AL,10.8289,5.1979,1.0107,1.4439
Misch,4.4759,NL,3.3209,3.1765,1.2995,1.4439
McClung,4.9355,NL,5.8065,5.6613,1.5968,1.629
Weathers,4.2097,NL,5.371,4.0645,1.4516,1.3065
Herrera,4.3784,NL,6.4216,3.5027,0.7297,1.4108
Mijares,2.4811,AL,8.027,3.3568,1.0216,1.1838
Perry,4.3784,AL,8.7568,5.5459,1.0216,1.5243
Street,3.2108,NL,10.2162,1.8973,1.0216,0.9081
Byrdak,3.375,NL,8.5109,5.2826,1.4674,1.2228
Pinto,3.6685,NL,8.5109,6.6033,0.587,1.5978
Rzepczyns,3.962,AL,8.8043,4.4022,1.0272,1.3207
Fister,4.2787,AL,5.3115,2.2131,1.623,1.2787
Franklin,1.918,NL,6.4918,3.541,0.2951,1.1967
Guzman,2.9508,NL,6.9344,3.3934,1.1803,1.0492
Jennings,4.5738,AL,6.4918,4.1311,1.0328,1.5574
Okajima,3.3934,AL,7.8197,3.0984,1.1803,1.2623
Clippard,2.9834,NL,9.9945,4.7735,1.3425,1.1271
Calero,1.95,NL,10.35,4.5,0.15,1.1
Coke,5.1,AL,7.35,3,1.5,1.0667
Perdomo,5.4,NL,8.25,5.1,1.65,1.5167
Delcarmen,5.1285,AL,6.6369,5.1285,0.7542,1.6425
Burton,4.5506,NL,6.8258,3.4888,0.7584,1.4157
Feliciano,3.7921,NL,8.9494,2.7303,1.0618,1.1629
Matsuzaka,5.764,AL,8.191,4.5506,1.5169,1.8708
Swarzak,6.5593,AL,5.1864,3.0508,1.8305,1.6271
Lidge,7.8239,NL,9.358,5.2159,1.6875,1.8068
O'Day,2.1477,AL,8.5909,2.7614,0.4602,1.0057
Ponson,7.6705,AL,4.9091,3.8352,0.9205,1.7727
VandenHur,4.4489,NL,7.517,3.2216,1.6875,1.3295
Loux,6.48,AL,2.9314,2.9314,0.6171,1.7657
Meyer,3.7029,NL,8.64,3.24,1.08,1.1657
Boggs,4.3448,NL,7.1379,5.1207,0.4655,1.7931
Burnett,3.2775,NL,6.711,4.3699,0.9364,1.1098
Frasor,2.6532,AL,8.7399,2.4971,0.6243,1.0231
Hill,8.2717,AL,7.1792,6.2428,1.0925,1.8728
Wheeler,3.4335,AL,7.0231,1.4046,1.7168,0.8671
Tomko,3.7674,AL,5.1802,2.0407,1.8837,1.0988
Perez,4.4211,AL,10.7368,4.2632,1.2632,1.193
Springer,4.2632,AL,9.1579,2.6842,1.4211,1.4912
Miller,3.1765,NL,5.7176,4.2882,1.1118,1.3059
Motte,5.0824,NL,8.5765,3.6529,1.5882,1.4118
O'Flahert,3.6746,NL,6.2308,2.8757,0.3195,1.2426
Sanches,2.8757,NL,8.1479,4.1538,0.7988,1.3491
Betancour,3.2143,NL,9.8036,3.2143,0.6429,1.1071
Garcia,4.3393,AL,5.9464,1.9286,0.6429,1.2143
Linebrink,5.4643,AL,8.8393,3.6964,1.4464,1.6607
Norris,4.6886,NL,8.7305,4.0419,1.4551,1.509
Saito,2.5868,AL,8.4072,4.0419,0.9701,1.3473
Beimel,3.9036,NL,5.6928,3.0904,0.8133,1.3735
Sampson,5.5301,NL,5.3675,3.4157,0.3253,1.5723
Fuentes,3.9273,AL,7.5273,3.9273,0.9818,1.4
Wood,4.2545,AL,10.3091,4.5818,1.1455,1.3818
Boyer,5.9268,NL,4.7744,3.2927,0.1646,1.3902
Jepsen,5.4329,AL,7.9024,3.128,0.3293,1.5
Capps,5.9632,NL,7.6196,2.816,1.6564,1.6564
MacDougal,5.135,NL,5.6319,6.2945,0.4969,1.6564
Hoffman,1.8333,NL,8,2.3333,0.3333,0.9074
Keppel,5,AL,5.3333,3.5,0.6667,1.5556
Valverde,2.5,NL,9.3333,3.5,0.8333,1.1296
Jenks,4.05,AL,8.2688,2.7,1.5188,1.275
Rhodes,2.7,NL,8.1,3.375,0.5063,1.0688
Soria,2.3774,AL,11.717,2.717,0.8491,1.1321
Vasquez,4.5849,NL,7.6415,4.9245,0.6792,1.5283
Fisher,4.4713,NL,8.2548,5.3312,0.6879,1.5478
Qualls,3.9808,NL,7.7885,1.2115,0.8654,1.1538
Burns,6.271,NL,6.7935,2.9613,1.7419,1.4903
Crain,4.8774,AL,7.4903,4.7032,0.5226,1.4516
DiFelice,3.6581,NL,8.3613,2.6129,1.0452,1.2387
Mitre,7.8387,AL,5.5742,2.2645,1.7419,1.6258
O'Sulliva,5.9226,AL,5.0516,2.7871,2.0903,1.471
Cabrera,8.2941,NL,4.0588,7.4118,0.7059,1.9804
Daley,4.2353,NL,9.7059,3.1765,1.0588,1.1961
Zavada,3.8824,NL,9.1765,4.2353,0.8824,1.3529
Latos,5.1513,NL,6.9276,4.0855,1.2434,1.3026
Colon,4.8278,AL,5.1854,3.9338,1.2517,1.4305
Cruz,6.0795,AL,6.7947,5.1854,1.0728,1.4901
Mahay,5.1854,AL,7.5099,3.9338,1.7881,1.6689
Veras,5.9007,AL,7.1523,5.0066,1.4305,1.3907
Stults,4.86,NL,5.94,4.68,0.54,1.54
Robertson,5.9799,AL,6.3423,5.0738,0.7248,1.7517
Volquez,4.5302,NL,8.5168,5.7987,1.0872,1.3289
Bard,4.3784,AL,11.4932,4.0135,0.9122,1.277
Francisco,3.8311,AL,10.3986,2.7365,1.0946,1.1149
Valdez,6.0203,NL,6.9324,5.1081,0.9122,1.723
Eaton,8.0816,AL,6.4286,4.9592,1.8367,1.8776
Seay,4.2534,AL,6.8425,3.1438,0.5548,1.2945
Villone,4.6233,NL,6.1027,5.363,1.1096,1.7055
Casilla,6.7034,AL,6.5172,4.6552,1.1172,1.7793
Bergmann,5.25,NL,7.5,4.6875,1.3125,1.5625
Perez,7.6875,AL,6,4.6875,0.9375,1.8958
Purcey,6.5625,AL,7.3125,5.625,1.125,1.75
Lindstrom,6.6549,NL,7.4155,4.5634,0.9507,1.6479
Gorzelann,5.7447,NL,9,3.2553,1.1489,1.3191
Meek,3.4468,NL,8.0426,5.5532,0.383,1.3404
Narveson,4.2128,NL,8.8085,3.0638,1.3404,1.2979
Bennett,5.2071,AL,5.2071,6.1714,0.7714,2.1
Downs,3.4714,AL,8.2929,2.5071,0.7714,1.2643
LeBlanc,3.6906,NL,5.8273,3.6906,1.1655,1.1655
Kelley,4.5,AL,8.0217,1.7609,1.7609,1.1739
Smith,4.1087,NL,6.8478,3.7174,2.1522,1.3043
Arias,4.1387,NL,7.6861,3.7445,0.1971,1.4891
Burke,4.5328,NL,6.5036,4.5328,0.7883,1.5547
Fogg,3.9416,NL,5.3212,3.9416,1.3796,1.1387
Grilli,5.3212,NL,9.6569,5.3212,0.7883,1.6861
Rosales,4.7647,NL,6.1544,2.3824,0.9926,1.1471
Arredondo,6,AL,9.4,4.6,1.2,1.5556
Stetter,3.8,NL,8.8,5.4,0.8,1.4222
Thatcher,2.8,NL,11,3.6,0.4,1.2222
Martinez,3.6269,NL,7.4552,1.6119,1.4104,1.2537
Matusz,4.8358,AL,7.6567,2.8209,1.209,1.4776
Vasquez,6.0448,NL,5.8433,3.6269,1.209,1.7015
Wright,5.4403,NL,9.4701,5.0373,1.8134,1.7463
Eveland,7.9773,AL,4.5,5.3182,0.8182,2.1818
Miller,2.2672,NL,9.4809,2.2672,1.0305,0.9618
Robertson,3.916,AL,12.9847,4.7405,0.8244,1.3511
Ray,7.4769,AL,8.1,4.7769,1.6615,2.0077
Jackson,4.186,NL,4.3953,4.6047,0.4186,1.3953
Mathis,3.5859,AL,5.2734,2.1094,0.8438,1.1484
Hudson,3.6142,NL,6.378,2.7638,0.8504,1.4646
Condrey,3.6429,NL,5.3571,3,0.8571,1.2143
Wang,9.8571,AL,6.2143,4.0714,1.5,2.0238
Vargas,1.7419,NL,6.5323,3.2661,0.6532,0.9677
Reyes,3.7317,NL,7.2439,4.6098,0.439,1.3659
Maloney,4.8689,NL,6.1967,1.7705,1.9918,1.2541
Nelson,4.9091,AL,8.0331,6.0248,1.562,1.4628
Ayala,6.3,NL,6.3,3.15,1.125,1.6
Hawkswort,2.25,NL,4.5,3.375,0.45,1.1
Janssen,6.525,AL,5.4,3.15,1.125,1.825
Morales,4.95,NL,9.225,5.175,0.9,1.525
Sipp,3.6,AL,10.8,5.625,1.125,1.3
Speier,5.175,AL,8.775,3.375,1.575,1.475
